FIPS,State Name,State,Year,Overall Food Insecurity Rate,# of Food Insecure Persons Overall,Food Insecurity Rate among Black Persons (all ethnicities),Food Insecurity Rate among Hispanic Persons (any race),"Food Insecurity Rate among White, non-Hispanic Persons",SNAP Threshold in State,% FI ≤ SNAP Threshold,% FI > SNAP Threshold,Child Food Insecurity Rate,# of Food Insecure Children,% food insecure Children in HH w/HH Incomes Below 185 FPL,% food insecure Children in HH w/HH Incomes Above 185 FPL,Senior Food Insecurity Rate,# of Food Insecure Seniors,Older Adult Food Insecurity Rate,# of Food Insecure Older Adults,Cost Per Meal,Weighted weekly $ needed by FI,Weighted Annual Food Budget Shortfall,Census Division,Census Region,FNS Region
37,North Carolina,NC,2022,14.0%,"1,493,870",26%,22%,10%,200%,55%,45%,19.6%,"448,460",72%,28%,7.2%,"191,100",9.7%,"137,300",$3.91,$24.26,"$1,099,431,000",South Atlantic,South,Southeast
37,North Carolina,NC,2023,15.0%,"1,627,360",28%,23%,11%,200%,62%,38%,18.9%,"438,200",73%,27%,6.9%,"191,150",11.5%,"150,593",$3.50,$21.89,"$1,080,608,000",South Atlantic,South,Southeast
38,North Dakota,ND,2019,6.7%,"51,380",,,5%,200%,62%,39%,9.4%,"16,580",70%,30%,3.3%,"5,671",6.7%,"5,132",$3.18,$17.90,"$27,899,000",West North Central,Midwest,Mountain Plains
38,North Dakota,ND,2020,4.8%,"36,130",,,4%,200%,76%,24%,8.1%,"14,490",78%,22%,2.9%,"5,058",7.4%,"5,923",$3.06,$16.26,"$17,821,000",West North Central,Midwest,Mountain Plains
38,North Dakota,ND,2021,5.5%,"42,290",,,4%,200%,62%,39%,7.5%,"13,690",78%,22%,2.8%,"4,876",6.2%,"4,906",$3.43,$20.00,"$25,658,000",West North Central,Midwest,Mountain Plains
38,North Dakota,ND,2022,8.5%,"66,310",,,7%,200%,49%,51%,13.5%,"24,350",55%,45%,3.0%,"5,400",4.4%,"3,200",$3.84,$23.78,"$47,834,000",West North Central,Midwest,Mountain Plains
38,North Dakota,ND,2023,9.9%,"77,880",,,8%,200%,54%,46%,13.6%,"24,510",49%,51%,3.8%,"6,677",6.0%,"4,343",$3.43,$21.44,"$50,638,000",West North Central,Midwest,Mountain Plains
39,Ohio,OH,2019,13.2%,"1,547,110",25%,21%,12%,130%,49%,51%,17.4%,"447,350",72%,28%,7.2%,"203,026",10.8%,"167,983",$2.86,$16.14,"$757,327,000",East North Central,Midwest,Midwest
39,Ohio,OH,2020,11.6%,"1,351,090",25%,20%,10%,130%,53%,47%,15.9%,"412,670",81%,19%,5.6%,"165,699",10.2%,"156,579",$3.01,$15.96,"$654,099,000",East North Central,Midwest,Midwest
39,Ohio,OH,2021,11.8%,"1,391,290",25%,18%,10%,130%,39%,61%,14.8%,"386,430",75%,25%,4.9%,"148,693",11.6%,"166,353",$3.40,$19.80,"$835,411,000",East North Central,Midwest,Midwest
39,Ohio,OH,2022,14.1%,"1,653,610",29%,25%,12%,130%,36%,64%,19.8%,"505,430",69%,31%,6.5%,"198,600",10.6%,"143,800",$3.78,$23.41,"$1,174,406,000",East North Central,Midwest,Midwest
39,Ohio,OH,2023,15.3%,"1,800,530",31%,26%,13%,130%,44%,56%,20.1%,"517,450",72%,28%,8.3%,"249,579",12.9%,"183,182",$3.39,$21.21,"$1,158,299,000",East North Central,Midwest,Midwest
40,Oklahoma,OK,2019,14.7%,"583,570",24%,16%,13%,130%,47%,53%,20.8%,"197,690",66%,34%,8.3%,"72,624",15.7%,"73,797",$2.89,$16.28,"$288,155,000",West South Central,South,Southwest
40,Oklahoma,OK,2020,13.0%,"514,990",24%,17%,11%,130%,49%,51%,19.2%,"183,720",73%,27%,8.1%,"69,828",14.6%,"68,790",$2.99,$15.90,"$248,310,000",West South Central,South,Southwest
40,Oklahoma,OK,2021,14.1%,"561,640",25%,14%,11%,130%,38%,62%,19.1%,"182,930",65%,35%,9.4%,"81,019",14.7%,"68,004",$3.37,$19.62,"$334,213,000",West South Central,South,Southwest
40,Oklahoma,OK,2022,16.7%,"672,170",29%,20%,14%,130%,35%,65%,23.5%,"223,890",66%,34%,9.9%,"88,700",14.1%,"62,100",$3.77,$23.36,"$476,191,000",West South Central,South,Southwest
40,Oklahoma,OK,2023,18.4%,"745,130",32%,22%,15%,130%,45%,55%,24.0%,"231,800",67%,33%,9.9%,"90,710",11.1%,"49,097",$3.35,$20.94,"$473,267,000",West South Central,South,Southwest
41,Oregon,OR,2019,11.5%,"486,200",26%,21%,11%,185%,60%,40%,14.6%,"126,350",63%,37%,4.0%,"39,973",8.1%,"44,255",$3.13,$17.63,"$260,033,000",Pacific,West,Western
41,Oregon,OR,2020,9.8%,"407,840",27%,21%,9%,200%,75%,25%,13.2%,"114,460",80%,20%,4.5%,"46,137",7.4%,"39,482",$3.32,$17.63,"$218,100,000",Pacific,West,Western
41,Oregon,OR,2021,10.5%,"447,260",24%,17%,9%,200%,58%,42%,12.4%,"106,470",74%,26%,6.9%,"71,836",6.3%,"30,905",$3.72,$21.64,"$293,564,000",Pacific,West,Western
41,Oregon,OR,2022,13.1%,"554,550",30%,23%,12%,200%,55%,45%,17.3%,"144,210",64%,36%,7.4%,"78,500",10.5%,"51,900",$4.19,$25.99,"$437,114,000",Pacific,West,Western
41,Oregon,OR,2023,14.2%,"599,460",34%,24%,13%,200%,60%,40%,17.5%,"145,060",62%,38%,7.0%,"75,318",16.4%,"83,459",$3.80,$23.74,"$431,761,000",Pacific,West,Western
42,Pennsylvania,PA,2019,10.6%,"1,353,730",23%,20%,9%,160%,57%,43%,14.7%,"385,880",71%,29%,6.2%,"200,016",9.8%,"147,659",$3.17,$17.87,"$733,806,000",Middle Atlantic,Northeast,Mid-Atlantic
42,Pennsylvania,PA,2020,8.9%,"1,136,400",22%,21%,7%,160%,61%,39%,13.1%,"347,720",82%,18%,5.0%,"162,142",7.2%,"110,994",$3.36,$17.82,"$614,301,000",Middle Atlantic,Northeast,Mid-Atlantic
42,Pennsylvania,PA,2021,9.4%,"1,219,130",22%,19%,7%,200%,54%,46%,12.2%,"325,170",77%,23%,4.7%,"158,297",6.4%,"101,570",$3.65,$21.23,"$785,193,000",Middle Atlantic,Northeast,Mid-Atlantic
42,Pennsylvania,PA,2022,11.9%,"1,538,100",27%,25%,9%,200%,51%,49%,16.6%,"436,250",69%,31%,6.6%,"227,100",7.3%,"117,500",$4.05,$25.08,"$1,170,030,000",Middle Atlantic,Northeast,Mid-Atlantic
42,Pennsylvania,PA,2023,13.2%,"1,710,480",30%,27%,10%,200%,59%,41%,18.1%,"475,230",69%,31%,6.7%,"227,640",10.5%,"164,835",$3.61,$22.56,"$1,170,335,000",Middle Atlantic,Northeast,Mid-Atlantic
44,Rhode Island,RI,2019,9.5%,"101,100",20%,19%,9%,185%,59%,41%,14.1%,"28,730",73%,27%,5.3%,"13,817",13.8%,"17,480",$3.42,$19.28,"$59,135,000",New England,Northeast,Northeast
44,Rhode Island,RI,2020,8.4%,"88,550",20%,18%,6%,185%,65%,35%,13.0%,"26,750",81%,19%,6.0%,"15,581",11.7%,"15,648",$3.62,$19.21,"$51,594,000",New England,Northeast,Northeast
44,Rhode Island,RI,2021,9.3%,"102,130",18%,15%,7%,185%,48%,52%,12.9%,"26,860",76%,24%,5.2%,"13,713",8.6%,"12,267",$3.87,$22.55,"$69,859,000",New England,Northeast,Northeast
44,Rhode Island,RI,2022,10.9%,"118,890",22%,21%,9%,185%,43%,57%,14.7%,"29,770",66%,34%,4.1%,"11,100",8.7%,"11,700",$4.24,$26.25,"$94,670,000",New England,Northeast,Northeast
44,Rhode Island,RI,2023,12.3%,"135,200",26%,22%,9%,185%,56%,44%,15.2%,"30,930",71%,29%,4.5%,"12,649",12.3%,"15,017",$3.80,$23.76,"$97,441,000",New England,Northeast,Northeast
45,South Carolina,SC,2019,10.8%,"555,630",18%,14%,9%,130%,55%,46%,14.6%,"162,780",66%,34%,8.5%,"108,639",11.7%,"79,093",$2.94,$16.57,"$279,337,000",South Atlantic,South,Southeast
45,South Carolina,SC,2020,9.6%,"489,510",19%,14%,7%,130%,58%,42%,13.8%,"153,330",74%,26%,9.3%,"122,908",10.8%,"70,182",$3.09,$16.39,"$243,334,000",South Atlantic,South,Southeast
45,South Carolina,SC,2021,9.9%,"515,350",19%,11%,7%,130%,43%,57%,12.6%,"141,110",68%,32%,10.4%,"142,043",12.0%,"79,323",$3.41,$19.88,"$310,808,000",South Atlantic,South,Southeast
45,South Carolina,SC,2022,12.8%,"678,710",24%,18%,9%,130%,37%,63%,17.7%,"197,310",66%,34%,9.8%,"137,600",14.7%,"98,900",$3.80,$23.52,"$484,311,000",South Atlantic,South,Southeast
45,South Carolina,SC,2023,14.1%,"757,840",26%,20%,10%,130%,47%,53%,17.2%,"196,320",71%,29%,8.6%,"125,465",14.4%,"88,066",$3.41,$21.32,"$490,182,000",South Atlantic,South,Southeast
46,South Dakota,SD,2019,10.3%,"91,510",,12%,8%,130%,46%,54%,15.3%,"32,860",67%,33%,5.0%,"10,320",7.8%,"7,538",$3.06,$17.23,"$47,824,000",West North Central,Midwest,Mountain Plains
46,South Dakota,SD,2020,8.5%,"74,850",,13%,7%,130%,51%,49%,13.5%,"29,070",76%,24%,5.0%,"10,466",9.4%,"9,715",$3.12,$16.56,"$37,591,000",West North Central,Midwest,Mountain Plains
46,South Dakota,SD,2021,8.1%,"72,900",,11%,7%,130%,39%,61%,11.2%,"24,750",67%,33%,3.4%,"6,703",10.6%,"11,995",$3.57,$20.78,"$45,943,000",West North Central,Midwest,Mountain Plains
46,South Dakota,SD,2022,11.7%,"106,170",,18%,9%,130%,35%,65%,17.7%,"38,780",62%,38%,3.6%,"7,300",10.4%,"11,300",$3.94,$24.42,"$78,632,000",West North Central,Midwest,Mountain Plains
46,South Dakota,SD,2023,12.4%,"113,750",,19%,10%,130%,44%,56%,18.3%,"39,960",75%,25%,4.1%,"9,060",7.7%,"7,954",$3.51,$21.93,"$75,665,000",West North Central,Midwest,Mountain Plains
47,Tennessee,TN,2019,13.3%,"905,090",22%,22%,12%,130%,51%,49%,15.7%,"237,510",72%,28%,6.5%,"100,653",14.6%,"134,778",$3.07,$17.33,"$475,763,000",East South Central,South,Southeast
47,Tennessee,TN,2020,11.9%,"809,170",23%,21%,10%,130%,56%,44%,15.5%,"233,620",82%,18%,6.8%,"108,158",12.5%,"113,821",$3.17,$16.85,"$413,604,000",East South Central,South,Southeast
47,Tennessee,TN,2021,11.5%,"800,970",21%,17%,10%,130%,39%,61%,12.8%,"197,490",78%,22%,6.9%,"109,485",11.1%,"100,995",$3.53,$20.58,"$499,905,000",East South Central,South,Southeast
47,Tennessee,TN,2022,14.0%,"984,430",26%,23%,12%,130%,35%,65%,17.9%,"274,320",74%,26%,8.4%,"137,800",11.9%,"102,800",$3.97,$24.59,"$734,362,000",East South Central,South,Southeast
47,Tennessee,TN,2023,15.6%,"1,111,150",28%,23%,13%,130%,45%,55%,19.8%,"308,920",73%,27%,7.5%,"130,623",12.5%,"110,869",$3.60,$22.48,"$757,758,000",East South Central,South,Southeast
48,Texas,TX,2019,14.1%,"4,092,850",22%,17%,9%,165%,62%,38%,19.8%,"1,462,920",67%,33%,10.4%,"541,147",11.6%,"404,662",$2.68,$15.08,"$1,872,381,000",West South Central,South,Southwest
48,Texas,TX,2020,13.0%,"3,720,710",24%,19%,7%,165%,65%,36%,18.9%,"1,395,890",74%,26%,9.0%,"474,937",11.8%,"406,060",$2.76,$14.63,"$1,651,298,000",West South Central,South,Southwest
48,Texas,TX,2021,13.7%,"4,057,910",23%,16%,8%,165%,48%,52%,18.1%,"1,348,600",65%,35%,8.5%,"454,896",14.0%,"491,124",$3.11,$18.12,"$2,230,427,000",West South Central,South,Southwest
48,Texas,TX,2022,16.4%,"4,919,210",28%,23%,10%,165%,45%,55%,22.8%,"1,697,870",65%,35%,9.8%,"546,800",15.4%,"551,600",$3.45,$21.36,"$3,187,674,000",West South Central,South,Southwest
48,Texas,TX,2023,17.6%,"5,366,440",31%,24%,11%,165%,56%,44%,22.2%,"1,673,600",67%,33%,13.6%,"788,324",16.2%,"573,049",$3.11,$19.41,"$3,159,485,000",West South Central,South,Southwest
49,Utah,UT,2019,11.1%,"355,550",,17%,10%,130%,37%,63%,12.6%,"116,770",53%,47%,6.6%,"34,514",10.0%,"30,250",$2.94,$16.56,"$178,573,000",Mountain,West,Southwest
49,Utah,UT,2020,9.2%,"288,970",,19%,8%,130%,41%,59%,11.3%,"104,840",65%,35%,3.5%,"17,310",9.0%,"29,398",$2.99,$15.86,"$139,022,000",Mountain,West,Southwest
49,Utah,UT,2021,9.5%,"316,980",,15%,8%,130%,28%,72%,9.8%,"93,050",55%,45%,5.4%,"27,304",7.4%,"23,598",$3.38,$19.69,"$189,317,000",Mountain,West,Southwest
49,Utah,UT,2022,12.3%,"414,510",,20%,11%,130%,25%,75%,15.4%,"143,140",50%,50%,7.6%,"43,200",6.8%,"19,700",$3.79,$23.52,"$295,670,000",Mountain,West,Southwest
49,Utah,UT,2023,14.2%,"484,090",,21%,12%,130%,34%,66%,17.2%,"161,000",49%,51%,5.7%,"34,341",9.3%,"26,542",$3.44,$21.47,"$315,197,000",Mountain,West,Southwest
50,Vermont,VT,2019,11.0%,"68,590",,,11%,185%,53%,47%,13.7%,"15,570",55%,45%,4.8%,"8,692",8.4%,"6,837",$3.60,$20.27,"$42,174,000",New England,Northeast,Northeast
50,Vermont,VT,2020,9.0%,"56,010",,,9%,185%,63%,37%,11.8%,"13,610",67%,33%,4.6%,"8,115",9.4%,"7,766",$3.81,$20.23,"$34,373,000",New England,Northeast,Northeast
50,Vermont,VT,2021,8.9%,"57,150",,,9%,185%,45%,55%,10.3%,"12,040",56%,44%,4.3%,"8,025",12.7%,"9,877",$3.98,$23.18,"$40,178,000",New England,Northeast,Northeast
50,Vermont,VT,2022,11.7%,"75,410",,,11%,185%,43%,57%,14.7%,"16,670",56%,44%,6.3%,"12,300",13.2%,"10,100",$4.34,$26.91,"$61,558,000",New England,Northeast,Northeast
50,Vermont,VT,2023,12.2%,"79,010",,,12%,185%,50%,50%,13.9%,"15,960",52%,48%,8.1%,"16,107",14.1%,"11,280",$3.93,$24.56,"$58,867,000",New England,Northeast,Northeast
51,Virginia,VA,2019,9.4%,"799,620",16%,13%,7%,130%,47%,53%,11.4%,"212,370",60%,40%,6.2%,"115,715",8.9%,"96,066",$3.17,$17.88,"$433,605,000",South Atlantic,South,Mid-Atlantic
51,Virginia,VA,2020,7.7%,"658,470",17%,15%,5%,200%,71%,29%,9.7%,"182,170",75%,25%,5.8%,"114,304",7.8%,"80,347",$3.30,$17.50,"$349,523,000",South Atlantic,South,Mid-Atlantic
51,Virginia,VA,2021,8.1%,"704,270",17%,12%,5%,200%,57%,44%,8.8%,"164,680",72%,28%,5.2%,"105,295",7.1%,"73,127",$3.64,$21.20,"$452,899,000",South Atlantic,South,Mid-Atlantic
51,Virginia,VA,2022,11.1%,"963,980",21%,18%,8%,200%,52%,48%,13.6%,"252,480",67%,33%,8.2%,"162,700",8.3%,"91,700",$4.06,$25.19,"$736,687,000",South Atlantic,South,Mid-Atlantic
51,Virginia,VA,2023,12.1%,"1,050,300",24%,18%,9%,200%,61%,39%,14.0%,"261,730",71%,29%,9.9%,"205,745",10.9%,"118,656",$3.64,$22.74,"$724,543,000",South Atlantic,South,Mid-Atlantic
53,Washington,WA,2019,10.4%,"790,050",22%,19%,10%,200%,61%,39%,14.0%,"232,080",58%,42%,6.2%,"90,979",9.7%,"107,613",$3.21,$18.09,"$433,418,000",Pacific,West,Western
53,Washington,WA,2020,8.5%,"638,210",21%,20%,7%,200%,69%,31%,12.3%,"203,430",67%,33%,4.6%,"76,935",7.8%,"70,957",$3.47,$18.44,"$357,002,000",Pacific,West,Western
53,Washington,WA,2021,8.9%,"688,170",21%,17%,7%,200%,54%,47%,11.8%,"197,550",62%,38%,3.7%,"65,137",6.9%,"59,549",$3.85,$22.43,"$468,219,000",Pacific,West,Western
53,Washington,WA,2022,11.5%,"891,960",26%,24%,10%,200%,48%,52%,15.7%,"257,580",55%,45%,4.5%,"77,900",9.1%,"87,500",$4.28,$26.54,"$718,014,000",Pacific,West,Western
53,Washington,WA,2023,13.2%,"1,027,920",28%,24%,11%,200%,55%,45%,17.1%,"281,010",55%,45%,5.5%,"94,063",10.6%,"102,433",$3.83,$23.96,"$747,101,000",Pacific,West,Western
54,West Virginia,WV,2019,13.5%,"242,180",22%,,14%,200%,68%,33%,18.6%,"66,780",72%,28%,9.9%,"48,748",15.0%,"33,784",$2.75,$15.52,"$113,985,000",South Atlantic,South,Mid-Atlantic
54,West Virginia,WV,2020,12.0%,"217,690",22%,,12%,200%,73%,27%,17.3%,"63,070",77%,23%,9.3%,"47,025",14.0%,"29,405",$2.81,$14.92,"$98,523,000",South Atlantic,South,Mid-Atlantic
54,West Virginia,WV,2021,11.7%,"208,720",22%,,12%,200%,62%,38%,14.0%,"50,680",78%,22%,10.2%,"53,687",14.1%,"28,594",$3.14,$18.29,"$115,771,000",South Atlantic,South,Mid-Atlantic
54,West Virginia,WV,2022,15.0%,"266,370",27%,,14%,200%,59%,41%,21.0%,"73,650",73%,27%,11.5%,"60,500",12.0%,"25,500",$3.52,$21.81,"$176,204,000",South Atlantic,South,Mid-Atlantic
54,West Virginia,WV,2023,15.7%,"277,720",29%,,15%,200%,66%,34%,20.2%,"71,140",71%,29%,10.7%,"54,129",10.1%,"22,454",$3.21,$20.06,"$168,990,000",South Atlantic,South,Mid-Atlantic
55,Wisconsin,WI,2019,9.1%,"530,500",27%,21%,7%,200%,62%,38%,14.5%,"183,700",68%,32%,4.7%,"66,880",8.6%,"67,611",$2.90,$16.36,"$263,205,000",East North Central,Midwest,Midwest
55,Wisconsin,WI,2020,7.2%,"415,400",27%,22%,5%,200%,76%,24%,12.6%,"160,890",82%,18%,6.4%,"91,187",9.2%,"76,927",$3.07,$16.28,"$205,161,000",East North Central,Midwest,Midwest
55,Wisconsin,WI,2021,7.2%,"427,380",25%,17%,5%,200%,57%,43%,11.1%,"142,050",78%,22%,6.0%,"83,458",6.6%,"54,374",$3.48,$20.29,"$263,063,000",East North Central,Midwest,Midwest
55,Wisconsin,WI,2022,10.5%,"617,790",30%,23%,8%,200%,51%,49%,16.5%,"204,750",67%,33%,6.0%,"84,700",10.7%,"83,000",$3.91,$24.23,"$453,996,000",East North Central,Midwest,Midwest
55,Wisconsin,WI,2023,11.8%,"694,710",32%,27%,9%,200%,58%,42%,16.3%,"202,600",73%,27%,6.3%,"89,360",11.3%,"93,997",$3.52,$21.99,"$463,353,000",East North Central,Midwest,Midwest
56,Wyoming,WY,2019,11.7%,"67,750",,14%,12%,130%,41%,60%,14.6%,"19,530",58%,42%,5.7%,"7,685",9.4%,"6,671",$3.12,$17.60,"$36,177,000",Mountain,West,Mountain Plains
56,Wyoming,WY,2020,10.2%,"59,570",,14%,10%,130%,46%,54%,12.9%,"17,390",68%,32%,8.2%,"11,592",8.7%,"5,868",$3.13,$16.64,"$30,065,000",Mountain,West,Mountain Plains
56,Wyoming,WY,2021,10.6%,"61,200",,11%,10%,130%,35%,65%,12.2%,"16,100",65%,35%,7.3%,"10,890",7.6%,"4,923",$3.50,$20.37,"$37,813,000",Mountain,West,Mountain Plains
56,Wyoming,WY,2022,14.4%,"83,780",,18%,12%,130%,33%,67%,19.4%,"25,140",57%,43%,7.6%,"11,400",10.5%,"7,100",$3.90,$24.17,"$61,418,000",Mountain,West,Mountain Plains
56,Wyoming,WY,2023,15.4%,"90,020",,20%,13%,130%,41%,59%,21.0%,"27,230",63%,37%,9.4%,"14,485",14.3%,"9,156",$3.51,$21.93,"$59,883,000",Mountain,West,Mountain Plains